LocaleIdentifier,TH
MsgGasStationCanNotLogOutFromEnabler,ไม่สามารถออกจากระบบจาก Enabler EMB\nโปรดลองอีกครั้ง
MsgGasStationTestAmount,จำนวนเงินที่ครบกำหนดชำระ
MsgGasStationClearTypeNormal,ปกติ
MsgGasStationClearTypeTest,ทดสอบ
MsgGasStationClearTypeDriveOff,นำออก
MsgGasStationAuthorizePromptTitle,อนุญาต %@หรือไม่
MsgGasStationCantAuthorizePump,ไม่สามารถอนุญาต %@ ปั๊มถูกบล็อก
MsgGasStationCantManagePump,ไม่สามารถจัดการ %@ ปั๊มนี้ถูกจองโดยขั้วปลายสายไฟที่มีรหัส %d
MsgGasStationPumpAskingAuthorization,ปั๊มนี้กำลังร้องขอการอนุญาต คุณต้องการอนุญาตหรือไม %@่?
MsgGasStationTransaction#,การทำรายการ # %@
BtnGasStationHeaderOrders,การทำรายการ
BtnPinLogin,เข้าสู่ระบบ
BtnPinClockIn,เข้างาน
BtnPinClockOut,ออกงาน
BtnPinRefresh,รีเฟรช
BtnPinClear,ลบ
BtnSwipeLogin,เข้าสู่ระบบด้วยการรูดบัตร
BtnPinReset,ตั้งค่าใหม่
MsgClockOutBreak,เวลาพัก
BtnEndBreak,หมดเวลาพัก
MsgOrdersReportWarningOpenUnsyncedOrders,คุณมีคำสั่งซื้อที่เปิดอยู่ และ/หรือไม่ได้ซิงก์ข้อมูล:
MsgOrdersReportWarningCloseOrders,โปรดปิดคำสั่งซื้อของคุณก่อน และรอคำสั่งซื้อนั้นซิงก์ข้อมูล หรือป้อน PIN ผู้ดูแลระบบเพื่อทำการออกงานอย่างเสร็จสมบูรณ์
BtnManagerOverride,แทนที่โดย\nผู้จัดการ
BtnClockInAsRole,เข้างานในฐานะ\n%@
MsgPaidBreak,เวลาพักที่ได้รับการจ่ายเงิน
MsgUnpaidBreak,เวลาพักที่ไม่ได้รับการจ่ายเงิน
MsgPinDataNotDownloaded,ข้อมูลเมนูไม่ได้ถูกดาวน์โหลดจากเซิร์ฟเวอร์
MsgPinRefreshDataTitle,รีเฟรช POS
MsgPinRefreshDataContent,การรีเฟรช POS อาจใช้เวลาสักครู่หนึ่ง และควรจะได้รับการดำเนินการเมื่อระบบส่วนหลังเปลี่ยนไป คุณต้องการดำเนินการต่อหรือไม่?
MsgPinUserNotLocked,ผู้ใช้ไม่ได้ถูกปิดกั้นไว้ที่ POS นี้
MsgPinUserIdIsNotAssigned,รหัสผู้ใช้ไม่ได้รับการกำหนดไว้\nโปรดรีเฟรชสถานี POS
MsgPinUnableToAccessPos,ไม่สามารถเข้าใช้งาน POS
MsgUserRequireAdminCardSwipe,ผู้ใช้นี้ต้องใช้บัตรผู้ดูแลระบบเพื่อเข้าสู่ระบบ
MsgPinInvalidPin,คุณป้อน PIN ไม่ถูกต้อง\nโปรดลองอีกครั้ง
MsgPinPOSNotSet,ไม่มีการตั้งค่าการติดตั้ง หรือเครื่องบริการ POS!\n\nโปรดรีเฟรช!
MsgPinVersion,เวอร์ชัน: %@\nMAC Address สำหรับอุปกรณ์นี้:\n %@
MsgPinSelectStation,เลือกเครื่องบริการ
MsgPinResetConfirm,ลบข้อมูลทั้งหมด และตั้งค่าแอปพลิเคชันใหม่หรือไม่?
MsgPinSentToEmail,PIN ของคุณถูกส่งไปยัง %@
MsgPinPleaseUsePinToLogin,โปรดใช้ 1234 เพื่อเข้าสู่ระบบแอป POS ระบบ Revel
MsgPinInvalidIdentification,เครื่องบริการชำระเงิน รหัส %@’ %@ ไม่ตรงกับการตั้งค่าระบบส่วนหลัง
MsgPinInvalidIPAddress,ที่อยู่ไอพี ของเครื่องบริการชำระเงิน ‘%@’ ไม่ตรงกับการตั้งค่าระบบส่วนหลัง
